,Unnamed: 0,k_mean_cluster,pre_onset_contrib,depth
0,170,1.0,-6.506528829300495,3274.293729963722
1,176,1.0,-3.314448609943951,6768.095178269157
2,179,1.0,-4.267635589280876,6711.770861836571
3,193,1.0,-6.608343179792086,6204.571699410726
4,195,2.0,-5.612572832684629,6085.174352307298
5,198,1.0,-6.633479904294032,6009.506277151337
6,199,1.0,-4.598950525615265,5983.586753056611
7,200,1.0,-5.897881896656672,2149.5488871352677
8,201,3.0,-4.325073024610018,5942.232102603799
9,203,3.0,-6.969460064376137,2078.0030693948247
10,215,1.0,-4.41193543983625,1722.395671168184
11,216,2.0,-7.438573014640486,5464.410138531992
12,217,2.0,-6.592806803269424,1585.5608202911508
13,224,1.0,-6.807952367715312,1188.2753979928311
14,226,1.0,-6.39059996638402,1183.1085533644964
15,231,1.0,-3.1027251823870823,795.8156391039902
16,239,1.0,-6.893759665580252,387.8725089497166
17,255,1.0,-6.234364554419834,5901.053511611131
18,258,1.0,-4.89131653731304,1150.3961810266828
19,260,1.0,-3.72398503983576,836.1743058735938
20,264,1.0,-6.752127476896862,322.518889037834
21,268,1.0,-6.688207242536672,248.00122099426608
22,269,1.0,-4.906458452601172,687.0719488733739
23,274,1.0,-5.189113124761926,2069.321627487576
24,281,3.0,-3.4516125810661342,3688.804523243319
25,282,1.0,-3.315765055747298,3765.548467330532
26,283,1.0,-2.3777148723062016,3872.274582443498
27,288,1.0,-2.6317276774533847,4193.771250977754
28,289,1.0,-3.521086859423836,4289.326223699789
29,296,1.0,-4.920977025260844,4686.278900272742
30,297,3.0,-5.063814780766405,4746.703178948072
31,303,2.0,-3.444663739679881,5197.873327147874
32,305,3.0,-4.456563044656519,5581.434739469691
33,311,1.0,-5.233711624944109,6139.258298233617
34,319,2.0,-0.8591675859694834,988.2851756260834
35,320,1.0,-2.32880943572551,1144.3442912546689
36,322,1.0,-4.381296456452008,1672.9763103162295
37,324,1.0,-4.4550757856633805,1725.988564344012
38,325,1.0,-1.0210976284697502,2598.9533525900824
39,328,1.0,-5.877158300101981,3053.084040853088
40,346,1.0,-5.776789444873132,6962.783887373683
41,348,2.0,-4.696014002443678,6723.088477011402
42,350,2.0,-4.748140623477518,6541.050523765794
43,356,3.0,-5.116202870371801,6160.435356407828
44,365,3.0,-4.421662967558171,5661.882747028274
45,371,3.0,-4.6904550005145245,1596.503692518054
46,379,3.0,-4.881707603876948,781.8466780154222
47,382,3.0,-4.659776181494514,597.4229197586119
48,393,1.0,-3.4219694679234465,2761.36861297768
49,396,3.0,-3.9280353159790113,1980.368253738463
50,404,3.0,-4.505626985654058,1680.849709575663
51,408,2.0,-1.821751264231013,1917.786248027772
52,412,3.0,-3.243162749758664,2218.4117214133603
53,415,2.0,-4.041479640742737,2662.091054379965
54,424,3.0,-2.888910238332204,7406.981478566695
55,425,3.0,-2.5637436696361493,7520.058728639818
56,428,3.0,-4.443511923889912,6501.918944849123
57,433,3.0,-6.785929700927465,7514.948215809542
58,438,3.0,-6.140232310741749,7417.936799074155
59,441,3.0,-5.287431206723005,7201.853878047582
60,444,3.0,-6.576176606268401,7102.709818173073
61,446,3.0,-6.036957930194214,7059.323182831177
62,447,3.0,-7.250397520225928,6943.797604671814
63,448,3.0,-7.266700900959459,6903.047145793682
64,450,3.0,-5.631124151964286,6846.014851206966
65,451,3.0,-5.981531534261328,6727.763397361293
66,452,3.0,-6.876994062556896,6639.907829337931
67,454,3.0,-6.742464585298798,6559.1293167195
68,457,3.0,-5.620547069523586,2623.080937576122
69,459,2.0,-6.518003533083575,2561.911908853115
70,463,3.0,-5.295430425693509,2443.9893541580323
71,468,3.0,-5.3156299680233134,2244.4504745895874
72,473,3.0,-6.496936548696136,5821.384791235212
73,480,3.0,-5.300507903645791,1786.3630381852636
74,482,3.0,-7.155556360812029,1722.773122909357
75,485,3.0,-7.529835714396064,1558.385525691814
76,506,3.0,-5.385999216512065,602.873345633704
77,525,3.0,-4.4033179615143645,3022.6400275771666
78,528,3.0,-8.277592986462643,2182.2821868997653
79,536,3.0,-6.1686561374968525,899.3839979839586
80,550,3.0,-7.069313237026933,885.9595752861014
81,552,3.0,-6.657182351760651,1024.1622000032005
82,557,3.0,-6.307798035237115,1333.02847986477
83,562,2.0,-3.812368012658232,2441.467554475803
84,571,3.0,-6.196599564820696,6114.037528413744
85,572,3.0,-4.147117657147483,6595.990715395772
86,574,3.0,-5.561445865153493,7378.729938947109
87,579,3.0,-3.0478219304003136,7337.656080191709
88,594,1.0,-5.380431750631629,2931.2775459490667
89,605,2.0,-5.446609421171135,2466.489295386068
90,606,1.0,-3.4653358859891443,2446.9513899411377
91,608,1.0,-5.513543260329219,2401.5994473052133
92,610,2.0,-5.285154897020167,2346.6957944205114
93,611,1.0,-4.769909540575786,2273.138612984869
94,613,3.0,-6.499477879278069,2218.798077083541
95,615,2.0,-4.025241576306685,2097.995069989217
96,616,2.0,-4.846166754963383,2138.8577030627894
97,621,1.0,-4.681210220257917,1848.6403891529253
98,625,2.0,-3.507527251604764,1736.0157088409503
99,626,2.0,-2.457588138940168,1641.529286064926
100,627,2.0,-3.742406534047257,1630.355378926768
101,645,2.0,-4.62160525484387,1148.4694097151614
102,646,1.0,-4.2970926895203645,1110.863112205885
103,653,2.0,-4.521563113913846,786.5675391202967
104,655,1.0,-4.62277840275847,3929.807442726792
105,657,3.0,-6.168101804203615,3408.390404455676
106,669,2.0,-5.076147974131804,2146.736297007871
107,670,1.0,-3.961607025823149,2036.0048810108783
108,676,2.0,-4.356809469986493,1467.565918249392
109,678,1.0,-4.906545791959868,1185.842710974569
110,681,1.0,-4.252896038232768,1016.1528502727142
111,683,1.0,-5.43127803881597,887.0573284392685
112,685,2.0,-5.522029402502363,2228.471172754723
113,686,3.0,-6.145659342598179,2182.9764917815937
114,692,1.0,-5.991503286808908,904.7299324717542
115,693,1.0,-5.761856894409704,966.9503453095158
116,694,1.0,-4.450322260119471,1296.7189921840554
117,696,2.0,-4.090147315750054,1354.9554556881794
118,700,2.0,-3.338774318489045,1378.255625885703
119,701,2.0,-4.119802235367436,1429.1814586738246
120,703,1.0,-4.854438341945319,1773.0353628381245
121,705,2.0,-4.573212602621038,2048.990443065625
122,706,2.0,-5.458766639579993,2130.551504603281
123,707,3.0,-4.524236634091936,2304.863355933063
124,710,2.0,-3.69069528648214,5829.685399680846
125,720,2.0,-2.5412535650420573,7307.960266013059
126,739,1.0,-4.482278556405061,6965.386383948787
127,741,3.0,-4.105474169469147,3032.4898294790764
128,760,1.0,-4.2112114430222185,2429.2951495430552
129,763,2.0,-3.6194464507963193,2248.027984231868
130,783,1.0,-4.8984296268863305,1228.6746171392024
131,785,1.0,-1.61714012438363,1168.04950384496
132,792,1.0,-3.755502042868348,1026.1086110151518
133,797,1.0,-4.410382663067187,965.2492008614844
134,802,1.0,-3.7328326763561313,882.5394515919197
135,806,1.0,-4.54012446437361,779.9398632575794
136,813,2.0,-3.3604723145269397,4148.60716708516
137,828,1.0,-3.914169445572973,2026.5886155139133
138,829,1.0,-4.757789610561419,2025.87831091876
139,835,2.0,-3.646585099041663,1067.4683193997844
140,841,1.0,-5.861665897228851,780.0742941313174
141,850,2.0,-3.2327718997724646,3490.2990727780243
142,869,1.0,-6.653281259043761,3275.090423016749
143,882,1.0,-3.987306291261345,6952.130054296371
144,884,1.0,-5.255353583319593,3131.344954987281
145,887,2.0,-5.176437157887776,3035.8640535814866
146,888,1.0,-5.251271520219029,2934.2744749481453
147,908,1.0,-3.2616057124327464,6235.315196948138
148,911,1.0,-6.518947205264656,2310.534517431352
149,912,3.0,-5.475998913654018,6109.809535943926
150,917,1.0,-5.114551468020759,2128.140304565486
151,923,2.0,-4.679977281699171,5770.1978410256925
152,931,2.0,-2.9903884356161683,5612.522521057847
153,937,1.0,-6.55936157978958,5473.66200711886
154,939,1.0,-4.743462594734549,1608.4326921861684
155,948,2.0,-4.081088507649733,1472.6292357348111
156,949,1.0,-4.311081919263205,1485.7267358845038
157,950,1.0,-5.614246109971346,5270.871263595194
158,1000,1.0,-3.968250716036606,4547.611374526556
159,1015,1.0,-4.763331894301706,4293.518220790463
160,1024,2.0,-5.707102875716419,4211.212623430992
161,1027,1.0,-5.504552297785872,4096.795419532429
162,1031,1.0,-5.371051857432729,3954.360756656323
163,1040,1.0,-5.915393474878143,3158.98648963094
164,1045,3.0,-5.835377835996634,2435.2337484459813
165,1056,2.0,-5.258935200507848,4917.841072088219
166,1081,1.0,-6.328178304070791,1203.0756582870663
167,1091,2.0,-4.607848037023911,1579.3766791023008
168,1098,1.0,-6.246472299406059,2856.4184648967057
169,1214,1.0,-2.68054130646442,2950.971190494486
170,1271,2.0,-3.5389195321790354,2368.304288328084
171,1283,1.0,-2.982149867150722,2250.008268643338
172,1335,2.0,-2.371448976360747,1425.6893045717609
173,1340,2.0,-2.134383258504696,1350.222449616429
174,1344,2.0,-3.006158685854652,1308.360872754456
175,13,2.0,-inf,6593.301373612419
176,54,3.0,-inf,1912.220991353557
177,105,3.0,-inf,3042.963497082072
